Constituents,Symbol,Macro-Economic Sector
JSW ENERGY LTD,533148,Utilities
JSW HOLDINGS LIMITED,532642,Financial Services
JSW Infrastructure Limited,543994,Services
JSW STEEL LTD.,500228,Commodities
JTEKT India Ltd,520057,Consumer Discretionary
JTL INDUSTRIES LIMITED,534600,Industrials
JUBILANT FOODWORKS LTD,533155,Consumer Discretionary
Jubilant Ingrevia Limited,543271,Commodities
JUBILANT PHARMOVA LIMITED,530019,Healthcare
Juniper Hotels Limited,544129,Consumer Discretionary
Jupiter Life Line Hospitals Li,543980,Healthcare
JUPITER WAGONS LIMITED,533272,Industrials
JUST DIAL LTD.,535648,Consumer Discretionary
JYOTHY LABS LIMITED,532926,Fast Moving Consumer Goods
Jyoti CNC Automation Limited,544081,Industrials
K.P.R.MILL LIMITED,532889,Consumer Discretionary
KAJARIA CERAMICS LTD.,500233,Consumer Discretionary
Kalpataru Limited,544423,Consumer Discretionary
KALPATARU PROJECTS INTERNATION,522287,Industrials
Kalyan Jewellers India Limited,543278,Consumer Discretionary
KALYANI STEELS LTD.,500235,Industrials
KAMA HOLDINGS LIMITED,532468,Financial Services
KANSAI NEROLAC PAINTS LTD.,500165,Consumer Discretionary
KARNATAKA BANK LTD.,532652,Financial Services
KAVERI SEED COMPANY LTD.,532899,Fast Moving Consumer Goods
KAYNES TECHNOLOGY INDIA LIMITE,543664,Industrials
KDDL LTD.,532054,Consumer Discretionary
KEC INTERNATIONAL LTD.,532714,Industrials
KEI INDUSTRIES LTD.,517569,Industrials
KENNAMETAL INDIA LTD.,505890,Industrials
KEWAL KIRAN CLOTHING LTD.,532732,Consumer Discretionary
Keystone Realtors Limited,543669,Consumer Discretionary
KFin Technologies Limited,543720,Financial Services
Kingfa Science & Technology (I,524019,Industrials
KIOCL Limited,540680,Commodities
KIRI INDUSTRIES LTD.,532967,Commodities
KIRLOSKAR BROTHERS LTD.,500241,Industrials
KIRLOSKAR FERROUS INDUSTRIES L,500245,Commodities
KIRLOSKAR INDUSTRIES LTD,500243,Industrials
KIRLOSKAR OIL ENGINES LTD.,533293,Industrials
KIRLOSKAR PNEUMATIC CO.LTD.,505283,Industrials
KITEX GARMENTS LTD.,521248,Consumer Discretionary
Knowledge Marine & Engineering,543273,Services
KNR CONSTRUCTIONS LTD.,532942,Industrials
KOLTE-PATIL DEVELOPERS LTD.,532924,Consumer Discretionary
KOTAK MAHINDRA BANK LTD.,500247,Financial Services
KOVAI MEDICAL CENTER & HOSPITA,523323,Healthcare
KPI Green Energy Limited,542323,Utilities
KPIT Technologies Ltd,542651,Information Technology
KRBL LTD.,530813,Fast Moving Consumer Goods
Krishna Institute of Medical S,543308,Healthcare
KRN HEAT EXCHANGER AND REFRIGE,544263,Industrials
Krsnaa Diagnostics Limited,543328,Healthcare
KSB LIMITED,500249,Industrials
L&T Finance Limited,533519,Financial Services
L&T Technology Services Limite,540115,Information Technology
L.G.BALAKRISHNAN & BROS.LTD.,500250,Consumer Discretionary
LA OPALA RG LTD.,526947,Consumer Discretionary
